listing_url,price,num_bedroom,area_sqft,city
https://vancouver.craigslist.org/bnc/apa/d/burnaby-must-see-1br-suite/7282955370.html,1250,1,600,burnaby
https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-basement-for-rent/7273877138.html,1300,2,NA,surrey
https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-one-bedroom/7281114393.html,1850,1,500,vancouver
